review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_rating,review_scores_cleanlinessnan,review_scores_checkinnan,review_scores_communicationnan,review_scores_locationnan,review_scores_ratingnan
4.72,4.92,4.92,4.66,4.77,0,0,0,0,0
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,0.0,1,1,1,1,0
4.72,4.88,4.88,4.66,4.79,0,0,0,0,0
4.73,4.85,4.9,4.62,4.75,0,0,0,0,0
4.84,4.94,4.96,4.77,4.83,0,0,0,0,0
4.67,4.78,4.69,4.27,4.53,0,0,0,0,0
4.8,4.72,4.65,4.36,4.7,0,0,0,0,0
4.88,4.95,4.96,4.93,4.88,0,0,0,0,0
4.56,4.81,4.78,4.32,4.58,0,0,0,0,0
4.75,4.88,4.94,4.44,4.69,0,0,0,0,0
4.92,4.97,5.0,4.68,4.92,0,0,0,0,0
4.49,4.71,4.59,4.73,4.38,0,0,0,0,0
4.69,4.91,4.96,4.56,4.83,0,0,0,0,0
4.53,4.65,4.56,4.76,4.39,0,0,0,0,0
4.76,4.95,4.95,4.94,4.92,0,0,0,0,0
4.85,4.92,4.89,4.4,4.69,0,0,0,0,0
4.71,4.8,4.9,4.41,4.55,0,0,0,0,0
4.84,4.74,4.8,4.59,4.71,0,0,0,0,0
4.59,4.89,4.85,4.41,4.46,0,0,0,0,0
4.52,4.91,4.83,4.77,4.67,0,0,0,0,0
4.86,4.93,4.91,4.24,4.87,0,0,0,0,0
4.85,4.95,4.94,4.44,4.78,0,0,0,0,0
4.72,4.9,4.9,4.55,4.76,0,0,0,0,0
4.9,4.89,4.89,4.6,4.83,0,0,0,0,0
4.99,4.98,4.99,4.95,4.95,0,0,0,0,0
4.48,4.83,4.85,4.55,4.61,0,0,0,0,0
4.5,4.84,4.88,4.5,4.57,0,0,0,0,0
4.49,4.63,4.48,4.62,4.13,0,0,0,0,0
4.25,4.75,4.75,4.0,4.0,0,0,0,0,0
4.67,4.82,4.9,4.75,4.68,0,0,0,0,0
4.96,4.9,4.91,4.62,4.8,0,0,0,0,0
4.91,4.95,4.98,4.93,4.9,0,0,0,0,0
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,4.549229847680984,1,1,1,1,1
4.96,4.98,4.99,4.74,4.97,0,0,0,0,0
4.95,4.86,4.9,4.86,4.86,0,0,0,0,0
4.66,4.89,4.89,4.97,4.82,0,0,0,0,0
